지역구분,지역구분_시,지역구분_도심/도심외,지역구분_읍/면/동,관광업종 구분,회원 유형,회원 성별,회원 연령대,회원 거주지,2014-09~2015-08 카드이용금액,2014-09 ~ 2015-08 카드이용건수,2014-09~2015-08 카드이용자수,2015-09~2016-08 카드이용금액,2015-09~2016-08 카드이용건수,2015-09~2016-08 카드이용자수,데이터기준일자
제주도,전체,전체,전체,식음료,내국인,남,30대,제주,25635488868,915180,20155,29216402407,1044277,20503,2017-02-16
제주도,전체,전체,전체,식음료,내국인,남,40대,제주,41822338082,1175761,25223,46678982016,1332289,25885,2017-02-16
제주도,전체,전체,전체,식음료,내국인,남,50대,제주,34107818398,867149,20662,37150796017,956366,20992,2017-02-16
제주도,전체,전체,전체,식음료,내국인,남,60대이상,제주,17110721893,391819,14259,17851382477,421592,14228,2017-02-16
제주도,전체,전체,전체,식음료,내국인,여,20대 미만,제주,179066370,13738,963,431042859,34369,1736,2017-02-16
제주도,전체,전체,전체,식음료,내국인,여,20대,제주,11102084815,655616,16097,13874755208,798643,17186,2017-02-16
제주도,전체,전체,전체,식음료,내국인,여,30대,제주,16873609498,782385,19548,19526189814,890447,20132,2017-02-16
제주도,전체,전체,전체,식음료,내국인,여,40대,제주,23242897232,886321,22987,26813933902,1031751,23833,2017-02-16
제주도,전체,전체,전체,식음료,내국인,여,50대,제주,15007474022,478899,17532,16467942257,534439,17944,2017-02-16
제주도,전체,전체,전체,식음료,내국인,여,60대이상,제주,5815627545,160307,9132,6309168466,178060,9313,2017-02-16
제주도,전체,전체,전체,유흥,내국인,남,20대 미만,제주,16443000,274,125,59157890,840,303,2017-02-16
제주도,전체,전체,전체,유흥,내국인,남,20대,제주,2649470631,50908,8402,3197857156,55724,9279,2017-02-16
제주도,전체,전체,전체,유흥,내국인,남,30대,제주,9792944789,96065,13187,10426367305,91459,12752,2017-02-16
제주도,전체,전체,전체,유흥,내국인,남,40대,제주,18701477580,136042,16190,19800461120,135012,16167,2017-02-16
제주도,전체,전체,전체,유흥,내국인,남,50대,제주,11916592573,98805,12226,12473389023,98305,11889,2017-02-16
제주도,전체,전체,전체,유흥,내국인,남,60대이상,제주,3217276909,27836,4919,3115325511,26247,4609,2017-02-16
제주도,전체,전체,전체,유흥,내국인,여,20대 미만,제주,14673600,253,117,34553870,603,253,2017-02-16
제주도,전체,전체,전체,유흥,내국인,여,20대,제주,1410862601,38089,8457,1464714198,37142,8702,2017-02-16
제주도,전체,전체,전체,유흥,내국인,여,30대,제주,1568340003,29614,8067,1562953183,26112,7497,2017-02-16
제주도,전체,전체,전체,유흥,내국인,여,40대,제주,2403417513,33285,9070,2310985149,31672,8762,2017-02-16
제주도,전체,전체,전체,유흥,내국인,여,50대,제주,1355243261,18661,5675,1461876299,18167,5401,2017-02-16
제주도,전체,전체,전체,유흥,내국인,여,60대이상,제주,643039588,6022,1702,611957116,5532,1550,2017-02-16
제주도,전체,전체,전체,교통,내국인,남,20대 미만,한국(제주제외),4996012,107,55,20680973,262,147,2017-02-16
제주도,전체,전체,전체,교통,내국인,남,20대,한국(제주제외),3471476430,66964,36771,5440342564,103386,55362,2017-02-16
제주도,전체,전체,전체,교통,내국인,남,30대,한국(제주제외),12222560526,199950,104945,14288412960,243842,122962,2017-02-16
제주도,전체,전체,전체,교통,내국인,남,40대,한국(제주제외),12615797032,173859,86161,14654711931,213953,101023,2017-02-16
제주도,전체,전체,전체,교통,내국인,남,50대,한국(제주제외),9426160316,121729,58681,10582888267,150333,67982,2017-02-16
제주도,전체,전체,전체,교통,내국인,남,60대이상,한국(제주제외),4433518940,56205,25672,4508363246,65288,27845,2017-02-16
제주도,전체,전체,전체,교통,내국인,여,20대 미만,한국(제주제외),10555451,130,75,16091393,335,178,2017-02-16
제주도,전체,전체,전체,교통,내국인,여,20대,한국(제주제외),4765244169,81586,49117,7103684934,117846,70379,2017-02-16
제주도,전체,전체,전체,교통,내국인,여,30대,한국(제주제외),9363741719,142973,80677,10308275324,162124,90407,2017-02-16
제주도,전체,전체,전체,교통,내국인,여,40대,한국(제주제외),6549977664,83629,44949,7336230423,103461,54653,2017-02-16
제주도,전체,전체,전체,교통,내국인,여,50대,한국(제주제외),4291734318,55665,30041,4716138198,67762,35942,2017-02-16
제주도,전체,전체,전체,교통,내국인,여,60대이상,한국(제주제외),1807891492,22531,10918,1789050029,26169,12130,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,남,20대 미만,한국(제주제외),10690094,603,434,23566755,1423,941,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,남,20대,한국(제주제외),902604530,39083,22682,1114214069,47292,26614,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,남,30대,한국(제주제외),3025975380,91125,50286,3303210383,99652,53045,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,남,40대,한국(제주제외),5303141992,97899,46574,6214470380,110505,53278,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,남,50대,한국(제주제외),6128207231,63692,31263,6826479754,71826,35052,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,남,60대이상,한국(제주제외),4563351428,36549,15786,4782509195,38968,16796,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,여,20대 미만,한국(제주제외),11560088,747,549,24098560,1527,1011,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,여,20대,한국(제주제외),1246436479,59771,36489,1431799528,66705,39381,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,여,30대,한국(제주제외),2638267585,87484,50190,2782652935,93811,51944,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,여,40대,한국(제주제외),2778286265,63430,32258,3180251463,74101,37525,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,여,50대,한국(제주제외),2116261774,33211,18633,2339971158,39174,22080,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,여,60대이상,한국(제주제외),1185593987,14795,8056,1311448321,16914,9141,2017-02-16
제주도,전체,전체,전체,소매,내국인,남,20대 미만,한국(제주제외),42829850,2601,1654,103313530,6374,3980,2017-02-16
제주도,전체,전체,전체,소매,내국인,남,20대,한국(제주제외),1879547070,57521,34365,2697309891,83911,48079,2017-02-16
제주도,전체,전체,전체,소매,내국인,남,30대,한국(제주제외),5821760291,133946,75142,6981988346,168098,88757,2017-02-16
제주도,전체,전체,전체,소매,내국인,남,40대,한국(제주제외),6770817669,127240,67747,8213750100,160817,81666,2017-02-16
제주도,전체,전체,전체,소매,내국인,남,50대,한국(제주제외),6962526919,101322,56265,7995738222,124727,65389,2017-02-16
제주도,전체,전체,전체,소매,내국인,남,60대이상,한국(제주제외),5196658299,57877,33318,5689587707,66710,36850,2017-02-16
제주도,전체,전체,전체,소매,내국인,여,20대 미만,한국(제주제외),46266340,2899,1782,112076180,6749,3983,2017-02-16
제주도,전체,전체,전체,소매,내국인,여,20대,한국(제주제외),3210942561,115212,62199,4375980692,156919,83508,2017-02-16
제주도,전체,전체,전체,소매,내국인,여,30대,한국(제주제외),5912980142,150046,82144,6808962496,175137,92618,2017-02-16
제주도,전체,전체,전체,소매,내국인,여,40대,한국(제주제외),5195383769,102591,54589,6351617445,132038,69205,2017-02-16
제주도,전체,전체,전체,소매,내국인,여,50대,한국(제주제외),5477024621,82503,46862,6645368868,105244,58182,2017-02-16
제주도,전체,전체,전체,소매,내국인,여,60대이상,한국(제주제외),4003924109,46475,26431,4379082813,54659,30540,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,남,20대 미만,한국(제주제외),61822413,6821,2258,163168595,17497,5330,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,남,20대,한국(제주제외),6208256086,374398,75387,9738320832,595993,109380,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,남,30대,한국(제주제외),18960128273,726769,156830,24180337863,1001771,190039,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,남,40대,한국(제주제외),19990086443,618779,130965,25718622603,893873,163209,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,남,50대,한국(제주제외),16330477242,395866,96390,20450263194,576955,119073,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,남,60대이상,한국(제주제외),8505688373,174090,47460,9866203661,235275,55234,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,여,20대 미만,한국(제주제외),57751475,4280,1658,176547470,12955,4512,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,여,20대,한국(제주제외),9295888519,386972,103100,13180001619,580379,146659,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,여,30대,한국(제주제외),18244505940,533094,145015,21203366876,671066,168645,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,여,40대,한국(제주제외),13347231675,332857,89391,17298052990,461135,116323,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,여,50대,한국(제주제외),10441861624,219599,67741,13127172202,300315,87914,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,여,60대이상,한국(제주제외),5495478206,107492,31170,6491421875,139198,38086,2017-02-16
제주도,전체,전체,전체,숙박,내국인,남,20대 미만,한국(제주제외),3290851,140,95,8939253,260,187,2017-02-16
제주도,전체,전체,전체,숙박,내국인,남,20대,한국(제주제외),876010245,14599,9767,1490934518,24053,16069,2017-02-16
제주도,전체,전체,전체,숙박,내국인,남,30대,한국(제주제외),5224625163,49316,30976,6991545482,66611,40613,2017-02-16
제주도,전체,전체,전체,숙박,내국인,남,40대,한국(제주제외),7547589792,54743,30712,8816736342,69178,38085,2017-02-16
제주도,전체,전체,전체,숙박,내국인,남,50대,한국(제주제외),5708967430,35808,20619,5949333861,43351,24811,2017-02-16
제주도,전체,전체,전체,숙박,내국인,남,60대이상,한국(제주제외),2912002749,17201,9622,2921158427,19715,11194,2017-02-16
제주도,전체,전체,전체,숙박,내국인,여,20대 미만,한국(제주제외),1704800,52,44,5627429,218,172,2017-02-16
제주도,전체,전체,전체,숙박,내국인,여,20대,한국(제주제외),1083165199,18673,13459,1877144805,32504,23368,2017-02-16
제주도,전체,전체,전체,숙박,내국인,여,30대,한국(제주제외),4437902677,40372,27042,5589509824,54223,35333,2017-02-16
제주도,전체,전체,전체,숙박,내국인,여,40대,한국(제주제외),4181189638,28669,17336,5392095551,38119,22933,2017-02-16
제주도,전체,전체,전체,숙박,내국인,여,50대,한국(제주제외),2221292339,15569,9958,2568672363,20690,13320,2017-02-16
제주도,전체,전체,전체,숙박,내국인,여,60대이상,한국(제주제외),1063847636,7657,4675,1228112954,9321,5678,2017-02-16
제주도,전체,전체,전체,식음료,내국인,남,20대 미만,한국(제주제외),42525080,2623,1229,130037714,7744,3281,2017-02-16
제주도,전체,전체,전체,식음료,내국인,남,20대,한국(제주제외),6205885907,256412,58032,9808918664,401511,83386,2017-02-16
제주도,전체,전체,전체,식음료,내국인,남,30대,한국(제주제외),18810603666,619500,129877,24503122801,814051,153708,2017-02-16
제주도,전체,전체,전체,식음료,내국인,남,40대,한국(제주제외),20243721889,509641,107307,26350774257,677120,129430,2017-02-16
제주도,전체,전체,전체,식음료,내국인,남,50대,한국(제주제외),16120676529,336592,76733,20473851942,451131,91770,2017-02-16
제주도,전체,전체,전체,식음료,내국인,남,60대이상,한국(제주제외),8154174072,157453,40732,9868688342,202549,46584,2017-02-16
제주도,전체,전체,전체,식음료,내국인,여,20대 미만,한국(제주제외),36794030,2517,1261,119504709,8139,3302,2017-02-16
제주도,전체,전체,전체,식음료,내국인,여,20대,한국(제주제외),8680058597,394011,90430,13491272211,603919,126892,2017-02-16
제주도,전체,전체,전체,식음료,내국인,여,30대,한국(제주제외),15374784861,556085,128344,19709730870,697890,147962,2017-02-16
제주도,전체,전체,전체,식음료,내국인,여,40대,한국(제주제외),10808526450,299535,74727,14413786619,403566,94347,2017-02-16
제주도,전체,전체,전체,식음료,내국인,여,50대,한국(제주제외),7508156938,179189,51284,10055283140,244033,65305,2017-02-16
제주도,전체,전체,전체,식음료,내국인,여,60대이상,한국(제주제외),3610891714,77870,23965,4536442143,101467,29074,2017-02-16
제주도,전체,전체,전체,유흥,내국인,남,20대,한국(제주제외),579719608,9934,4460,784862610,12552,5632,2017-02-16
제주도,전체,전체,전체,유흥,내국인,남,30대,한국(제주제외),1902939321,19490,8958,2245342140,21825,9622,2017-02-16
제주도,전체,전체,전체,유흥,내국인,남,40대,한국(제주제외),3425249922,22007,9381,4417263996,26905,10734,2017-02-16
제주도,전체,전체,전체,유흥,내국인,남,50대,한국(제주제외),2902616639,17694,7822,3497880967,21298,8779,2017-02-16
제주도,전체,전체,전체,유흥,내국인,남,60대이상,한국(제주제외),827685657,5306,2574,956446636,6440,2834,2017-02-16
제주도,전체,전체,전체,유흥,내국인,여,20대,한국(제주제외),304028758,7394,4009,399799391,9254,4974,2017-02-16
제주도,전체,전체,전체,유흥,내국인,여,30대,한국(제주제외),388686560,7272,4373,451759285,7977,4615,2017-02-16
제주도,전체,전체,전체,유흥,내국인,여,40대,한국(제주제외),528157261,5348,3020,538752225,5705,3331,2017-02-16
제주도,전체,전체,전체,유흥,내국인,여,50대,한국(제주제외),389799625,3612,2164,458638050,4326,2615,2017-02-16
제주도,전체,전체,전체,유흥,내국인,여,60대이상,한국(제주제외),202210692,1688,832,291870012,2184,911,2017-02-16
제주도,서귀포시,도심,전체,교통,내국인,남,20대,제주,242767892,6866,1451,343837117,9899,1922,2017-02-16
제주도,서귀포시,도심,전체,교통,내국인,남,30대,제주,1535691445,32244,4517,1671000522,36909,4963,2017-02-16
제주도,서귀포시,도심,전체,교통,내국인,남,40대,제주,3698516418,60840,6339,3521754630,64829,6673,2017-02-16
제주도,서귀포시,도심,전체,교통,내국인,남,50대,제주,3856201501,58393,5412,3355057744,60976,5509,2017-02-16
제주도,서귀포시,도심,전체,교통,내국인,남,60대이상,제주,3768995658,62983,5007,2786503729,61904,4987,2017-02-16
제주도,서귀포시,도심,전체,교통,내국인,여,20대,제주,162565070,4303,1062,221792411,6193,1345,2017-02-16
제주도,서귀포시,도심,전체,교통,내국인,여,30대,제주,957319128,21193,3286,965656166,22295,3535,2017-02-16
제주도,서귀포시,도심,전체,교통,내국인,여,40대,제주,1725680947,33855,4139,1710292856,35330,4304,2017-02-16
제주도,서귀포시,도심,전체,교통,내국인,여,50대,제주,1630892516,29915,3376,1501738702,29651,3490,2017-02-16
제주도,서귀포시,도심,전체,교통,내국인,여,60대이상,제주,997965705,15971,1770,786034015,15608,2048,2017-02-16
제주도,서귀포시,도심,전체,문화/레져,내국인,남,20대 미만,제주,2554428,198,76,8595950,569,186,2017-02-16
제주도,서귀포시,도심,전체,문화/레져,내국인,남,20대,제주,81534326,3919,1706,105035534,5095,1974,2017-02-16
제주도,서귀포시,도심,전체,문화/레져,내국인,남,30대,제주,218099571,7213,2775,247089028,8085,2965,2017-02-16
제주도,서귀포시,도심,전체,문화/레져,내국인,남,40대,제주,746817533,15214,4619,848940982,17707,4917,2017-02-16
제주도,서귀포시,도심,전체,문화/레져,내국인,남,50대,제주,775741699,13081,3432,855630946,14193,3452,2017-02-16
제주도,서귀포시,도심,전체,문화/레져,내국인,남,60대이상,제주,358697745,6282,1630,364367920,6279,1599,2017-02-16
제주도,서귀포시,도심,전체,문화/레져,내국인,여,20대 미만,제주,2810630,227,94,9256790,718,219,2017-02-16
제주도,서귀포시,도심,전체,문화/레져,내국인,여,20대,제주,84069884,5441,2258,104744062,6372,2488,2017-02-16
제주도,서귀포시,도심,전체,문화/레져,내국인,여,30대,제주,192897389,8119,3033,282095713,9941,3201,2017-02-16
제주도,서귀포시,도심,전체,문화/레져,내국인,여,40대,제주,428267117,12232,3721,549942911,15751,4024,2017-02-16
제주도,서귀포시,도심,전체,문화/레져,내국인,여,50대,제주,247086106,5668,2074,265612201,6571,2125,2017-02-16
제주도,서귀포시,도심,전체,문화/레져,내국인,여,60대이상,제주,65572820,1536,644,70242971,1815,682,2017-02-16
제주도,서귀포시,도심,전체,소매,내국인,남,20대 미만,제주,8162190,222,68,16436229,425,151,2017-02-16
제주도,서귀포시,도심,전체,소매,내국인,남,20대,제주,345160210,7140,1902,398632021,8253,2228,2017-02-16
제주도,서귀포시,도심,전체,소매,내국인,남,30대,제주,1177528058,18761,3937,1362006607,21241,4024,2017-02-16
제주도,서귀포시,도심,전체,소매,내국인,남,40대,제주,2718942871,32457,5413,3026500560,35078,5779,2017-02-16
제주도,서귀포시,도심,전체,소매,내국인,남,50대,제주,2871164688,27725,4544,3052885712,28912,4561,2017-02-16
